,fileid,age,mlu,utterance
0,Bernstein/Children/Gail/gail1.xml,21,[1.6666666666666667], eleven blocks 
1,Bliss/norjusti.xml,54,[6.487179487179487], sixteen stars 
2,Bloom70/Peter/06.xml,24,[3.084287200832466], it s not very interesting copyright nineteen fifty eight 
3,Bloom70/Peter/06.xml,24,[3.084287200832466], oh copyright nineteen fifty eight by katherine wooley 
4,Bloom70/Peter/10.xml,27,[2.8156028368794326], all the way to eleven already 
5,Bloom70/Peter/10.xml,27,[2.8156028368794326], i bet you have fourteen 
6,Bloom70/Peter/10.xml,27,[2.8156028368794326], i bet you have fourteen labels 
7,Bloom70/Peter/10.xml,27,[2.8156028368794326], nine to twelve 
8,Bloom70/Peter/17.xml,32,[5.525394045534151], that s a number eleven 
9,Bloom70/Peter/19.xml,35,[6.641887062187276], thirteen 
10,Bloom70/Peter/19.xml,35,[6.641887062187276], eighteen 
11,Bloom70/Peter/19.xml,35,[6.641887062187276], thirteen what 
12,Bloom70/Peter/20.xml,38,[5.36797153024911], that s eighteen all together 
13,Bohannon/Bax/karen3.xml,36,[2.3513513513513513], it says twelve o clock doesn t it 
14,Bohannon/Bax/karen3.xml,36,[2.3513513513513513], twelve o clock 
15,Braunwald/0diary/020203.xml,26,[5.387096774193548], oh when you re twelve or thirteen 
16,Braunwald/0diary/020724.xml,32,[7.0], one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen 
17,Braunwald/0diary/020724.xml,32,[7.0], there s an eleven but no eleventeen 
18,Braunwald/1-06-00b.xml,18,[1.1578947368421053], laura is e actly eighteen months 
19,Braunwald/1-07-25.xml,20,[1.8133333333333332], eleven 
20,Braunwald/1-07-25.xml,20,[1.8133333333333332], twelve 
21,Braunwald/1-07-25.xml,20,[1.8133333333333332], thirteen 
22,Braunwald/1-07-25.xml,20,[1.8133333333333332], fourteen 
23,Braunwald/1-07-25.xml,20,[1.8133333333333332], fifteen 
24,Braunwald/1-07-25.xml,20,[1.8133333333333332], sixteen 
25,Braunwald/1-07-25.xml,20,[1.8133333333333332], seventeen 
26,Braunwald/1-07-25.xml,20,[1.8133333333333332], eighteen 
27,Braunwald/1-07-25.xml,20,[1.8133333333333332], nineteen 
28,Braunwald/1-10-24.xml,23,[3.4166666666666665], january eleven morning 
29,Braunwald/2-00-00.xml,24,[2.5906040268456376], eighteen months 
30,Braunwald/2-02-00.xml,26,[3.3333333333333335], how could i sleep twelve out of every twenty four hours 
31,Braunwald/2-02-12b.xml,26,[3.3457943925233646], i got fifteen things i have to do today 
32,Braunwald/2-02-15.xml,26,[3.824561403508772], you know who s gonna going to be five in fifteen days 
33,Braunwald/2-02-18.xml,27,[3.0272108843537415], eleven 
34,Braunwald/2-02-18.xml,27,[3.0272108843537415], twelve 
35,Braunwald/2-02-18.xml,27,[3.0272108843537415], thirteen 
36,Braunwald/2-02-18.xml,27,[3.0272108843537415], fourteen 
37,Braunwald/2-02-18.xml,27,[3.0272108843537415], fourteen 
38,Braunwald/2-02-18.xml,27,[3.0272108843537415], say fourteen 
39,Braunwald/2-02-18.xml,27,[3.0272108843537415], fifteen 
40,Braunwald/2-02-18.xml,27,[3.0272108843537415], sixteen 
41,Braunwald/2-02-18.xml,27,[3.0272108843537415], seventeen 
