,fileid,age,mlu,utterance
0,Bloom70/Peter/01.xml,21,[2.03698224852071], when we count up your words today we re gonna have about four thousand seesaws and very little else seesaw seesaw 
1,Braunwald/1-06-16b.xml,19,[1.5483870967741935], that pool alone cost twenty four million dollars 
2,Braunwald/4-03-07.xml,51,[4.6722689075630255], seven years and zero days 
3,Brent/i1/i1-0930.xml,10,[0], okay it s going to zero 
4,Brent/i1/i1-1207.xml,12,[1.0], here s zero 
5,Brent/i1/i1-1207.xml,12,[1.0], put zero in his spot 
6,Brent/i1/i1-1207.xml,12,[1.0], at two six zero one whitney avenue 
7,Brent/v2/v2-1000.xml,10,[1.0], ol million dollar smile 
8,Brent/w1/w1-0913.xml,9,[7.0], when jesus fed five thousand men and all the women and children he first had them sit down in groups on the green grass 
9,Brent/w1/w1-1005.xml,[None],[0], when jesus fed five thousand men and all the women and children he first had them sit down in groups on the green grass 
10,Brent/w1/w1-1011.xml,10,[4.5], when jesus fed five thousand men and all the women and children 
11,Brent/w1/w1-1206.xml,[None],[0], three zero nine     
12,Brent/w3/w3-1122.xml,12,[1.0], a million dollars 
13,Brent/w3/w3-1316.xml,14,[1.2105263157894737], zero 
14,Brown/Adam/adam17.xml,35,[3.941265060240964], zero 
15,Brown/Adam/adam19.xml,36,[4.303398058252427], five four three two one zero blast 
16,Brown/Adam/adam19.xml,36,[4.303398058252427], that s five four three two one zero 
17,Brown/Adam/adam47.xml,52,[5.945668135095448], it says six five four two zero seven 
18,Brown/Adam/adam47.xml,52,[5.945668135095448], seven five four two zero seven 
19,Brown/Eve/eve15.xml,25,[4.913127413127413], the zero 
20,Brown/Sarah/sarah029.xml,33,[2.234042553191489], got a million books 
21,Brown/Sarah/sarah035.xml,35,[2.615], zero o 
22,Brown/Sarah/sarah040.xml,37,[3.6580882352941178], you got nine thousand why worry about one 
23,Brown/Sarah/sarah055.xml,40,[3.294478527607362], um looks like an zero to me 
24,Brown/Sarah/sarah055.xml,40,[3.294478527607362], oh you give me the zero now 
25,Brown/Sarah/sarah063.xml,42,[4.041666666666667], probably goin in town spent a couple of thousand dollars this year     
26,Brown/Sarah/sarah087.xml,48,[3.8847926267281108], you have a million of them uh 
27,Brown/Sarah/sarah092.xml,50,[4.448484848484848], and i ve got about a thousand errands to do before i can 
