key,fileid,age,mlu,sex,utterances
0,Bloom70/Peter/01.xml,21,[2.03698224852071],, when we count up your words today we re gonna have about four thousand seesaws and very little else seesaw seesaw 
0,Brent/w1/w1-0913.xml,9,[7.0],, when jesus fed five thousand men and all the women and children he first had them sit down in groups on the green grass 
1,Brent/w1/w1-1005.xml,[None],[0],, when jesus fed five thousand men and all the women and children he first had them sit down in groups on the green grass 
2,Brent/w1/w1-1011.xml,10,[4.5],, when jesus fed five thousand men and all the women and children 
0,Brown/Sarah/sarah040.xml,37,[3.6580882352941178],, you got nine thousand why worry about one 
1,Brown/Sarah/sarah063.xml,42,[4.041666666666667],, probably goin in town spent a couple of thousand dollars this year     
2,Brown/Sarah/sarah092.xml,50,[4.448484848484848],, and i ve got about a thousand errands to do before i can 
3,Brown/Sarah/sarah103.xml,52,[5.2875],, it s got the guarantee on it for another ten thousand miles 
4,Brown/Sarah/sarah111.xml,54,[5.4600760456273765],, a thousand tablecloth 
5,Brown/Sarah/sarah111.xml,54,[5.4600760456273765],, an an you can put it there for thousand days 
6,Brown/Sarah/sarah111.xml,54,[5.4600760456273765],, a thousand days 
7,Brown/Sarah/sarah133.xml,60,[4.488721804511278],, he had about a thousand weeks 
8,Brown/Sarah/sarah136.xml,61,[5.21505376344086],, oh about three thousand more 
0,Clark/shem22a.xml,33,[6.372727272727273],, is that like thousand year old eggs 
0,Cornell/lsno121.xml,60,[5.175438596491228],, and you have a thousand little ones and none big ones 
1,Cornell/lsno121.xml,60,[5.175438596491228],, a thousand 
2,Cornell/lsno121.xml,60,[5.175438596491228],, a thousand 
3,Cornell/mom03.xml,[None],[0],, i want you to have a thousand dollars 
4,Cornell/mom07.xml,[None],[0],, eight thousand dollars 
5,Cornell/mom07.xml,[None],[0],, eight thousand dollars is right 
6,Cornell/mom07.xml,[None],[0],, our car would be ten thousand dollars would you say 
7,Cornell/mom07.xml,[None],[0],, this past year it was costing a little over eight thousand dollars for that ford fairmont 
8,Cornell/mom07.xml,[None],[0],, well their boat was ten thousand dollars and 
9,Cornell/mom07.xml,[None],[0],, one thousand 
10,Cornell/mom10.xml,[None],[0],, a hundred thousand dollars a year 
11,Cornell/mom10.xml,[None],[0],, thirty to forty five thousand dollars average salary     
0,Garvey/arigay.xml,[None],[0],, okay i brought a thousand dollars home 
1,Garvey/kengay.xml,[None],[0],, pretend i said he s a thousand years old you said 
2,Garvey/kengay.xml,[None],[0],, he s a thousand years old 
0,Gathercole/07.xml,[None],[0],, i know what a thousand times a thousand is 
1,Gathercole/07.xml,[None],[0],, you wanna know a thousand times a thousand 
0,Gleason/Dinner/charlie.xml,36,[4.5394736842105265],, i think there s some supposed to be what twice as many people in the by the year two thousand or something like that 
1,Gleason/Dinner/david.xml,50,[5.208791208791209],, i guess she had about two thousand 
2,Gleason/Dinner/david.xml,50,[5.208791208791209],, she she put about three thousand dollars into this um quilting business and she hasn t made any money on it 
3,Gleason/Dinner/isadora.xml,43,[4.969387755102041],, it had thirty thousand pounds of turkeys 
4,Gleason/Dinner/john.xml,51,[5.785714285714286],, a thousand times no 
5,Gleason/Dinner/katie.xml,39,[4.124183006535947],, but we have to go to the store today for two thousand things so 
6,Gleason/Dinner/patricia.xml,30,[3.435374149659864],, the insurance now costs me one hundred si teen dollars a year for a hundred thousand dollar home like 
7,Gleason/Dinner/susan.xml,44,[7.193396226415095],, one thousand dollars if we do the work three thousand 
8,Gleason/Dinner/susan.xml,44,[7.193396226415095],, one thousand instead of three hundred 
