key,fileid,age,mlu,utterance,participants,child_sex,context,zero_reference,zero_type,physical_object,input_output,used_correctly
0,Brent/i1/i1-0930.xml,10,[0], okay it s going to zero ,"CHI, MOT, OTH",male,using a recorder of some kind,"MOT trying to figure out how to use a recorder, and display goes down to 0",symbolic_digit,yes,input,yes
1,Brent/i1/i1-1207.xml,12,[1.0], here s zero ,"CHI, MOT, OTH",male,playing with a toy that has letter and number symbols,"MOT is talking to CHI, helping him put letters and numbers back in their spots on the toy",symbolic_digit,yes,input,yes
2,Brent/i1/i1-1207.xml,12,[1.0], put zero in his spot ,"CHI, MOT, OTH",male,playing with a toy that has letter and number symbols,"MOT is talking to CHI, helping him put letters and numbers back in their spots on the toy",symbolic_digit,yes,input,yes
3,Brent/i1/i1-1207.xml,12,[1.0], at two six zero one whitney avenue ,"CHI, MOT, OTH",male,saying an address,MOT tells CHI that he is the best baby at their address,symbolic_verbal,no,input,yes
4,Brent/w3/w3-1316.xml,14,[1.2105263157894737], zero ,"MOT, CHI",male,MOT and CHI reading a book with letters and numbers,MOT most likely referring to 'zero' in book,symbolic_digit,yes,input,yes
5,Post/Tow/tow01.xml,19,[1.871212121212121], zero ,"MOT, CHI, SIB",female,SIB seems to be playing with a toy,SIB is pressing buttons and saying numbers randomly - unclear whether the buttons are on the numbers,NA,NA,output,NA
6,Providence/Naima/nai26.xml,20,[3.3815028901734103], where is the zero is the zero lost ,"CHI, MOT",female,CHI and MOT playing with number puzzle,MOT asks if 0 is lost after child asks for it,symbolic_digit,yes,input,yes
7,Providence/Naima/nai26.xml,20,[3.3815028901734103], oh you have it in yer your hand a red zero ,"CHI, MOT",female,CHI and MOT playing with number puzzle,MOT points out where the 0 is,symbolic_digit,yes,input,yes
8,Providence/Ethan/eth20.xml,20,[2.836244541484716], the show is at two o clock and it s twelve oh zero nine ,"CHI, MOT",male,NA,"MOT says 'two oh nine', does not say 'zero'",NA,NA,NA,NA
9,Providence/Naima/nai26.xml,20,[3.3815028901734103], where did the zero go ,"CHI, MOT",female,CHI and MOT playing with number puzzle,CHI asks where the 0 went,symbolic_digit,yes,output,yes
