,fileid,age,mlu,utterance
0,Bates/Free28/sue28.xml,28,[1.3333333333333333], eighteen 
1,Bliss/norjusti.xml,54,[6.487179487179487], one two three four five six seven eight nine ten eleven twelve 
2,Bliss/norjusti.xml,54,[6.487179487179487], twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twenty one twenty two twenty three twenty four twenty five twenty six twenty seven twenty eight twenty nine thirty 
3,Bliss/norjusti.xml,54,[6.487179487179487], one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twenty one twenty two twenty three twenty four twenty five twenty six 
4,Bliss/norjusti.xml,54,[6.487179487179487], one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen 
5,Bliss/norjusti.xml,54,[6.487179487179487], one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen 
6,Bliss/nortrevo.xml,51,[5.837037037037037], eight seven nine seven six five zero 
7,Bloom70/Peter/09.xml,26,[5.376513317191283], eighteen 
8,Bloom70/Peter/09.xml,26,[5.376513317191283], eleven 
9,Bloom70/Peter/09.xml,26,[5.376513317191283], thirteen sixteen this a put a car right 
10,Bloom70/Peter/10.xml,27,[2.8156028368794326], eleven 
11,Bloom70/Peter/10.xml,27,[2.8156028368794326], eleven 
12,Bloom70/Peter/10.xml,27,[2.8156028368794326], twelve fourteen 
13,Bloom70/Peter/10.xml,27,[2.8156028368794326], twelve fourteen 
14,Bloom70/Peter/17.xml,32,[5.525394045534151], number eleven 
15,Bloom70/Peter/18.xml,33,[5.660510114335972], one two three seven eight nine eleven twelve thirteen 
16,Bloom70/Peter/19.xml,35,[6.641887062187276], there s one two three four seven eight nine eleven thirteen six eighteen eighteen nineteen eighteen seventeen 
17,Bloom70/Peter/19.xml,35,[6.641887062187276], one two three four seven eight nine eleven thirteen 
18,Bloom70/Peter/19.xml,35,[6.641887062187276], sixteen eighteen seventeen eighteen sixteen eighteen seventeen eighteen seventeen 
19,Bloom70/Peter/19.xml,35,[6.641887062187276], seventeen 
20,Bloom70/Peter/19.xml,35,[6.641887062187276], one two thirteen 
21,Bloom70/Peter/19.xml,35,[6.641887062187276], thirteen 
22,Bloom70/Peter/19.xml,35,[6.641887062187276], thirteen 
23,Bloom70/Peter/20.xml,38,[5.36797153024911], it s got one two three four five six seven eight nine eleven thirteen 
24,Bloom70/Peter/20.xml,38,[5.36797153024911], six seven eight nine eleven thirteen sixteen eighteen 
25,Bloom70/Peter/20.xml,38,[5.36797153024911], one two three four and five five six seven eight nine ten eleven sixteen eleventeen sixteen 
26,Bohannon/Bax/karen3.xml,36,[2.3513513513513513], twelve 
27,Braunwald/0diary/020109.xml,25,[4.5], six six one zero six 
28,Braunwald/0diary/020114.xml,25,[4.63768115942029], my baby thirteen month old 
29,Braunwald/0diary/020124.xml,26,[4.833333333333333], you be sixteen 
30,Braunwald/0diary/020725.xml,32,[5.0], eighteen eleventeen twoteen 
31,Braunwald/2-02-18.xml,27,[3.0272108843537415], twelve 
32,Braunwald/2-02-18.xml,27,[3.0272108843537415], twelve 
33,Braunwald/2-02-18.xml,27,[3.0272108843537415], thirteen 
34,Braunwald/2-02-18.xml,27,[3.0272108843537415], fourteen 
35,Braunwald/2-02-18.xml,27,[3.0272108843537415], fifteen 
36,Braunwald/2-02-18.xml,27,[3.0272108843537415], sixteen 
37,Braunwald/2-02-18.xml,27,[3.0272108843537415], fifteen 
38,Braunwald/2-02-18.xml,27,[3.0272108843537415], eighteen 
39,Braunwald/2-02-18.xml,27,[3.0272108843537415], nineteen 
40,Braunwald/2-02-18.xml,27,[3.0272108843537415], eighteen 
41,Braunwald/2-05-26.xml,30,[3.23], is she fifteen 
42,Braunwald/2-05-26.xml,30,[3.23], is she fifteen 
43,Braunwald/3-02-16.xml,40,[4.032608695652174],     fifteen 
44,Braunwald/3-02-16.xml,40,[4.032608695652174], fifteen eighteen 
45,Braunwald/3-02-16.xml,40,[4.032608695652174], nineteen twenty 
46,Braunwald/3-03-11.xml,39,[4.597911227154047], fifteen 
47,Braunwald/3-03-11.xml,39,[4.597911227154047], fifteen months 
48,Braunwald/3-05-28d.xml,42,[4.769230769230769], what s eleven 
49,Braunwald/3-06-18a.xml,43,[3.844], we have eleven 
50,Braunwald/3-06-21.xml,43,[3.9130434782608696], eleven 
51,Braunwald/3-06-21.xml,43,[3.9130434782608696], ten eleven 
52,Braunwald/3-07-02.xml,43,[4.733333333333333], were you about fifteen 
53,Braunwald/4-10-xx.xml,58,[4.023225806451613], fifteen 
54,Braunwald/4-10-xx.xml,58,[4.023225806451613], fourteen sixteen 
55,Braunwald/4-10-xx.xml,58,[4.023225806451613], fourteen sixteen 
56,Braunwald/5-10-13.xml,70,[5.394495412844036], at our house and i m running with twww and she s nineteen and she drinks coffee 
57,Brown/Adam/adam06.xml,29,[2.9427168576104745], bitten me dog nineteen twelve 
58,Brown/Adam/adam06.xml,29,[2.9427168576104745], i night night twelve 
59,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
60,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
61,Brown/Adam/adam06.xml,29,[2.9427168576104745], nine twelve 
62,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
63,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve nineteen twelve nineteen twelve nineteen twelve nineteen twelve 
64,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve huh 
65,Brown/Adam/adam06.xml,29,[2.9427168576104745], here mommy nineteen twelve 
66,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
67,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
68,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
69,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
70,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
71,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
72,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
73,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
74,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
75,Brown/Adam/adam06.xml,29,[2.9427168576104745], read dat that nineteen twelve huh 
76,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
77,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
78,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve huh 
79,Brown/Adam/adam06.xml,29,[2.9427168576104745], nineteen twelve 
80,Brown/Adam/adam06.xml,29,[2.9427168576104745], i draw nineteen 
